No	Group	SubjectID	ItemID	ResponseText	ItemNo	ItemText
81	Level1	K1018	t004	идут	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
82	Level1	K1019	t004	ходят	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
83	Level1	K1020	t004	гулят	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
84	Level1	K1021	t004	ходят	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
85	Level1	K1001	t005	ездить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
86	Level1	K1002	t005	прогуливаться	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
87	Level1	K1003	t005	плавать	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
88	Level1	K1004	t005	ездить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
89	Level1	K1005	t005	обходить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
90	Level1	K1006	t005	пыли	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
91	Level1	K1007	t005	пыть	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
92	Level1	K1008	t005	-	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
93	Level1	K1009	t005	ездить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
94	Level1	K1010	t005	выйдти	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
95	Level1	K1011	t005	-	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
96	Level1	K1012	t005	съездить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
97	Level1	K1013	t005	переходить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
98	Level1	K1014	t005	путешествовать	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
99	Level1	K1015	t005	ходить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
100	Level1	K1016	t005	оставлять	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
101	Level1	K1017	t005	путишествовать	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
102	Level1	K1018	t005	плавать	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
103	Level1	K1019	t005	ехать	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
104	Level1	K1020	t005	-	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
105	Level1	K1021	t005	ездить	5	Q: Что вы хотите делать, когда выйдете на пенсию? A: Я хочу ___________ по просторам океана.
106	Level1	K1001	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
107	Level1	K1002	t006	водит	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
108	Level1	K1003	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
109	Level1	K1004	t006	переезжает	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
110	Level1	K1005	t006	набежать	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
111	Level1	K1006	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
112	Level1	K1007	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
113	Level1	K1008	t006	ездит	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
114	Level1	K1009	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
115	Level1	K1010	t006	ездит	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
116	Level1	K1011	t006	ехает	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
117	Level1	K1012	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
118	Level1	K1013	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
119	Level1	K1014	t006	водит	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
120	Level1	K1015	t006	ехать	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
121	Level1	K1016	t006	ездит	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
122	Level1	K1017	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
123	Level1	K1018	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
124	Level1	K1019	t006	едет	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
125	Level1	K1020	t006	ехать	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
126	Level1	K1021	t006	едёшь	6	Q: Что водитель сейчас делает? A: Сейчас он _____________ на дачу.
127	Level1	K1001	t007	еду	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
128	Level1	K1002	t007	плаваю	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
129	Level1	K1003	t007	плыву	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
130	Level1	K1004	t007	-	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
131	Level1	K1005	t007	плыть	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
132	Level1	K1006	t007	пыла	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
133	Level1	K1007	t007	пыл	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
134	Level1	K1008	t007	еду	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
135	Level1	K1009	t007	еду	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
136	Level1	K1010	t007	-	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
137	Level1	K1011	t007	катаюсь	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
138	Level1	K1012	t007	еду	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
139	Level1	K1013	t007	перехожу	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
140	Level1	K1014	t007	наплаваю	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
141	Level1	K1015	t007	хожу	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
142	Level1	K1016	t007	отдыхаю	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
143	Level1	K1017	t007	отправляюсь	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
144	Level1	K1018	t007	еду	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
145	Level1	K1019	t007	еду	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
146	Level1	K1020	t007	-	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
147	Level1	K1021	t007	еду	7	Q: Что вы сейчас делаете? A: Сейчас я __________ на юг.
148	Level1	K1001	t008	ползёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
149	Level1	K1002	t008	ползтизёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
150	Level1	K1003	t008	полезёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
151	Level1	K1004	t008	-	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
152	Level1	K1005	t008	ползти	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
153	Level1	K1006	t008	ходит	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
154	Level1	K1007	t008	ходит	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
155	Level1	K1008	t008	спит	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
156	Level1	K1009	t008	ходит	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
157	Level1	K1010	t008	-	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
158	Level1	K1011	t008	-	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
159	Level1	K1012	t008	идёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
160	Level1	K1013	t008	идёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
161	Level1	K1014	t008	полезёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
162	Level1	K1015	t008	йдёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
163	Level1	K1016	t008	стоит	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
164	Level1	K1017	t008	спит	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
165	Level1	K1018	t008	идёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
166	Level1	K1019	t008	идёт	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
167	Level1	K1020	t008	иду	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
168	Level1	K1021	t008	ходит	8	Q: Что гусеница сейчас делает? A: Сейчас она ____________.
169	Level1	K1001	t009	ползут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
170	Level1	K1002	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
171	Level1	K1003	t009	ездят	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
172	Level1	K1004	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
173	Level1	K1005	t009	собираются	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
174	Level1	K1006	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
175	Level1	K1007	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
176	Level1	K1008	t009	едет	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
177	Level1	K1009	t009	остановятся	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
178	Level1	K1010	t009	-	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
179	Level1	K1011	t009	-	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
180	Level1	K1012	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
181	Level1	K1013	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
182	Level1	K1014	t009	бегают	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
183	Level1	K1015	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
184	Level1	K1016	t009	идут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
185	Level1	K1017	t009	-	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
186	Level1	K1018	t009	идут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
187	Level1	K1019	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
188	Level1	K1020	t009	ехать	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
189	Level1	K1021	t009	едут	9	Q: Что машины сейчас делают? A: Сейчас они ____________.
190	Level1	K1001	t010	летает	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
191	Level1	K1002	t010	вылечу	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
192	Level1	K1003	t010	летит	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
193	Level1	K1004	t010	летет	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
194	Level1	K1005	t010	лететь	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
195	Level1	K1006	t010	летает	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
196	Level1	K1007	t010	летает	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
197	Level1	K1008	t010	еду	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
198	Level1	K1009	t010	едет	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
199	Level1	K1010	t010	полёт	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
200	Level1	K1011	t010	летет	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
201	Level1	K1012	t010	едет	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
202	Level1	K1013	t010	переедет	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
203	Level1	K1014	t010	летает	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
204	Level1	K1015	t010	походит	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
205	Level1	K1016	t010	летят	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
206	Level1	K1017	t010	улетет	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
207	Level1	K1018	t010	летит	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
208	Level1	K1019	t010	едет	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
209	Level1	K1020	t010	-	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
210	Level1	K1021	t010	летит	10	Q: Что он сейчас делает? A: Сейчас он __________ во Владивосток.
211	Level1	K1001	t011	идёт	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
212	Level1	K1002	t011	ведёт	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
213	Level1	K1003	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
214	Level1	K1004	t011	проедет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
215	Level1	K1005	t011	придёт	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
216	Level1	K1006	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
217	Level1	K1007	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
218	Level1	K1008	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
219	Level1	K1009	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
220	Level1	K1010	t011	-	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
221	Level1	K1011	t011	-	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
222	Level1	K1012	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
223	Level1	K1013	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
224	Level1	K1014	t011	бегает	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
225	Level1	K1015	t011	ходит	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
226	Level1	K1016	t011	в поезде	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
227	Level1	K1017	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
228	Level1	K1018	t011	идёт	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
229	Level1	K1019	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
230	Level1	K1020	t011	-	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
231	Level1	K1021	t011	едет	11	Q: Что поезд сейчас делает? A: Сейчас он ____________.
232	Level1	K1001	t012	плывёт	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
233	Level1	K1002	t012	ведёт	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
234	Level1	K1003	t012	плавает	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
235	Level1	K1004	t012	плыт	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
236	Level1	K1005	t012	наплавать	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
237	Level1	K1006	t012	пытает	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
238	Level1	K1007	t012	пытает	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
239	Level1	K1008	t012	плавает	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
240	Level1	K1009	t012	едет	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
241	Level1	K1010	t012	-	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
242	Level1	K1011	t012	-	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
243	Level1	K1012	t012	едет	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
244	Level1	K1013	t012	едет	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
245	Level1	K1014	t012	наплавает	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
246	Level1	K1015	t012	ходит	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
247	Level1	K1016	t012	плывёт	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
248	Level1	K1017	t012	плыт	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
249	Level1	K1018	t012	плават	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
250	Level1	K1019	t012	едет	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
251	Level1	K1020	t012	-	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
252	Level1	K1021	t012	едет	12	Q: Что пароход сейчас делает? A: Сейчас он ____________.
253	Level1	K1001	t013	ездил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
254	Level1	K1002	t013	поднимал	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
255	Level1	K1003	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
256	Level1	K1004	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
257	Level1	K1005	t013	ездил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
258	Level1	K1006	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
259	Level1	K1007	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
260	Level1	K1008	t013	был	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
261	Level1	K1009	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
262	Level1	K1010	t013	был	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
263	Level1	K1011	t013	шёл	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
264	Level1	K1012	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
265	Level1	K1013	t013	идёт	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
266	Level1	K1014	t013	был	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
267	Level1	K1015	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
268	Level1	K1016	t013	был	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
269	Level1	K1017	t013	был	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
270	Level1	K1018	t013	шёл	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
271	Level1	K1019	t013	ходил	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
272	Level1	K1020	t013	был	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
273	Level1	K1021	t013	учит	13	Q: Где был твой сын вчера? A: Вчера он _________ в школу.
274	Level1	K1001	t014	бежет	14	Q: Что собака сейчас делает? A: Сейчас она ____________.
275	Level1	K1002	t014	бежит	14	Q: Что собака сейчас делает? A: Сейчас она ____________.
276	Level1	K1003	t014	бегает	14	Q: Что собака сейчас делает? A: Сейчас она ____________.
277	Level1	K1004	t014	бегает	14	Q: Что собака сейчас делает? A: Сейчас она ____________.
278	Level1	K1005	t014	набежать	14	Q: Что собака сейчас делает? A: Сейчас она ____________.
279	Level1	K1006	t014	бегает	14	Q: Что собака сейчас делает? A: Сейчас она ____________.
