No	Group	SubjectID	LevelTest	Age	Gender	MonthLearn	MonthStay	ItemID	ExpectedAnswer	ItemType	ExpectedPath	ExpectedManner	ExpectedDirection	ExpectedAspect	ResponseText	ResponseStatus	ResponsePath	ResponseManner	ResponseDirection	ResponseAspect	PathY	MannerY	DirectionY	AspectY
35	Level1	K1014	13.0	29.0	F	84.0	6.0	t002	едет	DirectionItem	-	ride	uni	impf	бегает	MotionVerb	-	run	multi	impf	1	0	0	1
36	Level1	K1015	12.0	22.0	M	21.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	ходит	MotionVerb	-	walk	multi	impf	1	0	0	1
37	Level1	K1016	12.0	20.0	M	18.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	возьми такси	OtherVerb	x	x	x	pf	0	0	0	0
38	Level1	K1017	12.0	20.0	M	24.0	60.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
39	Level1	K1018	11.0	19.0	F	20.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
40	Level1	K1019	9.0	22.0	F	18.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
41	Level1	K1020	9.0	22.0	F	20.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	ехать	MotionVerb	-	ride	uni	impf	1	1	1	1
42	Level1	K1021	5.0	20.0	F	19.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
43	Level1	K1001	19.0	27.0	M	24.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	прилетел	MotionVerb	pri	fly	-	pf	0	1	0	0
44	Level1	K1002	18.0	33.0	F	48.0	0.75	t003	летал	DirectionItem	-	fly	multi	impf	провела	OtherVerb	x	x	x	pf	0	0	0	0
45	Level1	K1003	18.0	20.0	F	54.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	летала	MotionVerb	-	fly	multi	impf	1	1	1	1
46	Level1	K1004	17.0	25.0	M	36.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	провёл	OtherVerb	x	x	x	pf	0	0	0	0
47	Level1	K1005	17.0	36.0	M	156.0	1.0	t003	летал	DirectionItem	-	fly	multi	impf	залетал	MotionVerb	za	fly	-	impf	0	1	0	1
48	Level1	K1006	16.0	20.0	F	24.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	поехал	MotionVerb	po	ride	-	pf	0	0	0	0
49	Level1	K1007	16.0	20.0	F	48.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	поехал	MotionVerb	po	ride	-	pf	0	0	0	0
50	Level1	K1008	16.0	20.0	F	18.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	поехал	MotionVerb	po	ride	-	pf	0	0	0	0
51	Level1	K1009	16.0	19.0	F	18.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	ездила	MotionVerb	-	ride	multi	impf	1	0	1	1
52	Level1	K1010	15.0	21.0	F	14.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	провёл	OtherVerb	x	x	x	pf	0	0	0	0
53	Level1	K1011	15.0	23.0	M	18.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	поехал	MotionVerb	po	ride	-	pf	0	0	0	0
54	Level1	K1012	15.0	23.0	F	20.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	ездил	MotionVerb	-	ride	multi	impf	1	0	1	1
55	Level1	K1013	14.0	20.0	M	12.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	ехал	MotionVerb	-	ride	uni	impf	1	0	0	1
56	Level1	K1014	13.0	29.0	F	84.0	6.0	t003	летал	DirectionItem	-	fly	multi	impf	ездил	MotionVerb	-	ride	multi	impf	1	0	1	1
57	Level1	K1015	12.0	22.0	M	21.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	пойду	MotionVerb	po	walk	-	pf	0	0	0	0
58	Level1	K1016	12.0	20.0	M	18.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	провёл	OtherVerb	x	x	x	pf	0	0	0	0
59	Level1	K1017	12.0	20.0	M	24.0	60.0	t003	летал	DirectionItem	-	fly	multi	impf	провёл	OtherVerb	x	x	x	pf	0	0	0	0
60	Level1	K1018	11.0	19.0	F	20.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	летел	MotionVerb	-	fly	uni	impf	1	1	0	1
61	Level1	K1019	9.0	22.0	F	18.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	поехал	MotionVerb	po	ride	-	pf	0	0	0	0
62	Level1	K1020	9.0	22.0	F	20.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	ехать	MotionVerb	-	ride	uni	impf	1	0	0	1
63	Level1	K1021	5.0	20.0	F	19.0	0.0	t003	летал	DirectionItem	-	fly	multi	impf	лечу	MotionVerb	-	fly	uni	impf	1	1	0	1
64	Level1	K1001	19.0	27.0	M	24.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ходят	MotionVerb	-	walk	multi	impf	1	0	1	1
65	Level1	K1002	18.0	33.0	F	48.0	0.75	t004	ползают	filler	-	crawl	multi	impf	ползут	MotionVerb	-	crawl	uni	impf	1	1	0	1
66	Level1	K1003	18.0	20.0	F	54.0	0.0	t004	ползают	filler	-	crawl	multi	impf	полезут	OtherVerb	x	x	x	pf	0	0	0	0
67	Level1	K1004	17.0	25.0	M	36.0	0.0	t004	ползают	filler	-	crawl	multi	impf	вернутся на море	OtherVerb	x	x	x	pf	0	0	0	0
68	Level1	K1005	17.0	36.0	M	156.0	1.0	t004	ползают	filler	-	crawl	multi	impf	лезти	OtherVerb	x	x	x	impf	0	0	0	1
69	Level1	K1006	16.0	20.0	F	24.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ходили	MotionVerb	-	walk	multi	impf	1	0	1	1
70	Level1	K1007	16.0	20.0	F	48.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ходили	MotionVerb	-	walk	multi	impf	1	0	1	1
71	Level1	K1008	16.0	20.0	F	18.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ползают	MotionVerb	-	crawl	multi	impf	1	1	1	1
72	Level1	K1009	16.0	19.0	F	18.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ходят	MotionVerb	-	walk	multi	impf	1	0	1	1
73	Level1	K1010	15.0	21.0	F	14.0	0.0	t004	ползают	filler	-	crawl	multi	impf	-	Empty	x	x	x	x	0	0	0	0
74	Level1	K1011	15.0	23.0	M	18.0	0.0	t004	ползают	filler	-	crawl	multi	impf	спают	OtherVerb	x	x	x	impf	0	0	0	1
75	Level1	K1012	15.0	23.0	F	20.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ходут	MotionVerb	-	walk	multi	impf	1	0	1	1
76	Level1	K1013	14.0	20.0	M	12.0	0.0	t004	ползают	filler	-	crawl	multi	impf	переходят	MotionVerb	pere	walk	-	impf	0	0	0	1
77	Level1	K1014	13.0	29.0	F	84.0	6.0	t004	ползают	filler	-	crawl	multi	impf	полезти	OtherVerb	x	x	x	pf	0	0	0	0
78	Level1	K1015	12.0	22.0	M	21.0	0.0	t004	ползают	filler	-	crawl	multi	impf	йдут	MotionVerb	-	walk	uni	impf	1	0	0	1
79	Level1	K1016	12.0	20.0	M	18.0	0.0	t004	ползают	filler	-	crawl	multi	impf	уходят в море	MotionVerb	u	walk	-	impf	0	0	0	1
80	Level1	K1017	12.0	20.0	M	24.0	60.0	t004	ползают	filler	-	crawl	multi	impf	лежат	OtherVerb	x	x	x	impf	0	0	0	1
81	Level1	K1018	11.0	19.0	F	20.0	0.0	t004	ползают	filler	-	crawl	multi	impf	идут	MotionVerb	-	walk	uni	impf	1	0	0	1
82	Level1	K1019	9.0	22.0	F	18.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ходят	MotionVerb	-	walk	multi	impf	1	0	1	1
83	Level1	K1020	9.0	22.0	F	20.0	0.0	t004	ползают	filler	-	crawl	multi	impf	гулят	OtherVerb	x	x	x	impf	0	0	0	1
84	Level1	K1021	5.0	20.0	F	19.0	0.0	t004	ползают	filler	-	crawl	multi	impf	ходят	MotionVerb	-	walk	multi	impf	1	0	1	1
85	Level1	K1001	19.0	27.0	M	24.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	ездить	MotionVerb	-	ride	multi	impf	1	0	1	1
86	Level1	K1002	18.0	33.0	F	48.0	0.75	t005	плавать	DirectionItem	-	swim	multi	impf	прогуливаться	OtherVerb	x	x	x	impf	0	0	0	1
87	Level1	K1003	18.0	20.0	F	54.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	плавать	MotionVerb	-	swim	multi	impf	1	1	1	1
88	Level1	K1004	17.0	25.0	M	36.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	ездить	MotionVerb	-	ride	multi	impf	1	0	1	1
89	Level1	K1005	17.0	36.0	M	156.0	1.0	t005	плавать	DirectionItem	-	swim	multi	impf	обходить	MotionVerb	ob	walk	-	impf	0	0	0	1
90	Level1	K1006	16.0	20.0	F	24.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	пыли	MotionVerb	-	swim	uni	impf	1	1	0	1
91	Level1	K1007	16.0	20.0	F	48.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	пыть	MotionVerb	-	swim	uni	impf	1	1	0	1
92	Level1	K1008	16.0	20.0	F	18.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	-	Empty	x	x	x	x	0	0	0	0
93	Level1	K1009	16.0	19.0	F	18.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	ездить	MotionVerb	-	ride	multi	impf	1	0	1	1
94	Level1	K1010	15.0	21.0	F	14.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	выйдти	MotionVerb	vy	walk	-	pf	0	0	0	0
95	Level1	K1011	15.0	23.0	M	18.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	-	Empty	x	x	x	x	0	0	0	0
96	Level1	K1012	15.0	23.0	F	20.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	съездить	MotionVerb	s	ride	-	pf	0	0	0	0
97	Level1	K1013	14.0	20.0	M	12.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	переходить	MotionVerb	pere	walk	-	impf	0	0	0	1
98	Level1	K1014	13.0	29.0	F	84.0	6.0	t005	плавать	DirectionItem	-	swim	multi	impf	путешествовать	OtherVerb	x	x	x	impf	0	0	0	1
99	Level1	K1015	12.0	22.0	M	21.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	ходить	MotionVerb	-	walk	multi	impf	1	0	1	1
100	Level1	K1016	12.0	20.0	M	18.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	оставлять	OtherVerb	x	x	x	impf	0	0	0	1
101	Level1	K1017	12.0	20.0	M	24.0	60.0	t005	плавать	DirectionItem	-	swim	multi	impf	путишествовать	OtherVerb	x	x	x	impf	0	0	0	1
102	Level1	K1018	11.0	19.0	F	20.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	плавать	MotionVerb	-	swim	multi	impf	1	1	1	1
103	Level1	K1019	9.0	22.0	F	18.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	ехать	MotionVerb	-	ride	uni	impf	1	0	0	1
104	Level1	K1020	9.0	22.0	F	20.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	-	Empty	x	x	x	x	0	0	0	0
105	Level1	K1021	5.0	20.0	F	19.0	0.0	t005	плавать	DirectionItem	-	swim	multi	impf	ездить	MotionVerb	-	ride	multi	impf	1	0	1	1
106	Level1	K1001	19.0	27.0	M	24.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
107	Level1	K1002	18.0	33.0	F	48.0	0.75	t006	едет	DirectionItem	-	ride	uni	impf	водит	OtherVerb	x	x	x	impf	0	0	0	1
108	Level1	K1003	18.0	20.0	F	54.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
109	Level1	K1004	17.0	25.0	M	36.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	переезжает	MotionVerb	pere	ride	-	impf	0	1	0	1
110	Level1	K1005	17.0	36.0	M	156.0	1.0	t006	едет	DirectionItem	-	ride	uni	impf	набежать	MotionVerb	na	run	-	pf	0	0	0	0
111	Level1	K1006	16.0	20.0	F	24.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
112	Level1	K1007	16.0	20.0	F	48.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
113	Level1	K1008	16.0	20.0	F	18.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	ездит	MotionVerb	-	ride	multi	impf	1	1	0	1
114	Level1	K1009	16.0	19.0	F	18.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
115	Level1	K1010	15.0	21.0	F	14.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	ездит	MotionVerb	-	ride	multi	impf	1	1	0	1
116	Level1	K1011	15.0	23.0	M	18.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	ехает	MotionVerb	-	ride	uni	impf	1	1	1	1
117	Level1	K1012	15.0	23.0	F	20.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
118	Level1	K1013	14.0	20.0	M	12.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
119	Level1	K1014	13.0	29.0	F	84.0	6.0	t006	едет	DirectionItem	-	ride	uni	impf	водит	OtherVerb	x	x	x	impf	0	0	0	1
120	Level1	K1015	12.0	22.0	M	21.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	ехать	MotionVerb	-	ride	uni	impf	1	1	1	1
121	Level1	K1016	12.0	20.0	M	18.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	ездит	MotionVerb	-	ride	multi	impf	1	1	0	1
122	Level1	K1017	12.0	20.0	M	24.0	60.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
123	Level1	K1018	11.0	19.0	F	20.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
124	Level1	K1019	9.0	22.0	F	18.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
125	Level1	K1020	9.0	22.0	F	20.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	ехать	MotionVerb	-	ride	uni	impf	1	1	1	1
126	Level1	K1021	5.0	20.0	F	19.0	0.0	t006	едет	DirectionItem	-	ride	uni	impf	едёшь	MotionVerb	-	ride	uni	impf	1	1	1	1
127	Level1	K1001	19.0	27.0	M	24.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	еду	MotionVerb	-	ride	uni	impf	1	0	1	1
128	Level1	K1002	18.0	33.0	F	48.0	0.75	t007	плыву	DirectionItem	-	swim	uni	impf	плаваю	MotionVerb	-	swim	multi	impf	1	1	0	1
129	Level1	K1003	18.0	20.0	F	54.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	плыву	MotionVerb	-	swim	uni	impf	1	1	1	1
130	Level1	K1004	17.0	25.0	M	36.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	-	Empty	x	x	x	x	0	0	0	0
131	Level1	K1005	17.0	36.0	M	156.0	1.0	t007	плыву	DirectionItem	-	swim	uni	impf	плыть	MotionVerb	-	swim	uni	impf	1	1	1	1
132	Level1	K1006	16.0	20.0	F	24.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	пыла	MotionVerb	-	swim	uni	impf	1	1	1	1
133	Level1	K1007	16.0	20.0	F	48.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	пыл	MotionVerb	-	swim	uni	impf	1	1	1	1
134	Level1	K1008	16.0	20.0	F	18.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	еду	MotionVerb	-	ride	uni	impf	1	0	1	1
135	Level1	K1009	16.0	19.0	F	18.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	еду	MotionVerb	-	ride	uni	impf	1	0	1	1
136	Level1	K1010	15.0	21.0	F	14.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	-	Empty	x	x	x	x	0	0	0	0
137	Level1	K1011	15.0	23.0	M	18.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	катаюсь	OtherVerb	x	x	x	impf	0	0	0	1
138	Level1	K1012	15.0	23.0	F	20.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	еду	MotionVerb	-	ride	uni	impf	1	0	1	1
139	Level1	K1013	14.0	20.0	M	12.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	перехожу	MotionVerb	pere	walk	-	impf	0	0	0	1
140	Level1	K1014	13.0	29.0	F	84.0	6.0	t007	плыву	DirectionItem	-	swim	uni	impf	наплаваю	MotionVerb	na	swim	-	pf	0	1	0	0
141	Level1	K1015	12.0	22.0	M	21.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	хожу	MotionVerb	-	walk	multi	impf	1	0	0	1
142	Level1	K1016	12.0	20.0	M	18.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	отдыхаю	OtherVerb	x	x	x	impf	0	0	0	1
143	Level1	K1017	12.0	20.0	M	24.0	60.0	t007	плыву	DirectionItem	-	swim	uni	impf	отправляюсь	OtherVerb	x	x	x	impf	0	0	0	1
144	Level1	K1018	11.0	19.0	F	20.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	еду	MotionVerb	-	ride	uni	impf	1	0	1	1
145	Level1	K1019	9.0	22.0	F	18.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	еду	MotionVerb	-	ride	uni	impf	1	0	1	1
146	Level1	K1020	9.0	22.0	F	20.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	-	Empty	x	x	x	x	0	0	0	0
147	Level1	K1021	5.0	20.0	F	19.0	0.0	t007	плыву	DirectionItem	-	swim	uni	impf	еду	MotionVerb	-	ride	uni	impf	1	0	1	1
148	Level1	K1001	19.0	27.0	M	24.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	ползёт	MotionVerb	-	crawl	uni	impf	1	1	1	1
149	Level1	K1002	18.0	33.0	F	48.0	0.75	t008	ползёт	DirectionItem	-	crawl	uni	impf	ползтизёт	MotionVerb	-	crawl	uni	impf	1	1	1	1
150	Level1	K1003	18.0	20.0	F	54.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	полезёт	OtherVerb	x	x	x	pf	0	0	0	0
151	Level1	K1004	17.0	25.0	M	36.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	-	Empty	x	x	x	x	0	0	0	0
152	Level1	K1005	17.0	36.0	M	156.0	1.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	ползти	MotionVerb	-	crawl	uni	impf	1	1	1	1
153	Level1	K1006	16.0	20.0	F	24.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	ходит	MotionVerb	-	walk	multi	impf	1	0	0	1
154	Level1	K1007	16.0	20.0	F	48.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	ходит	MotionVerb	-	walk	multi	impf	1	0	0	1
155	Level1	K1008	16.0	20.0	F	18.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	спит	OtherVerb	x	x	x	impf	0	0	0	1
156	Level1	K1009	16.0	19.0	F	18.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	ходит	MotionVerb	-	walk	multi	impf	1	0	0	1
157	Level1	K1010	15.0	21.0	F	14.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	-	Empty	x	x	x	x	0	0	0	0
158	Level1	K1011	15.0	23.0	M	18.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	-	Empty	x	x	x	x	0	0	0	0
159	Level1	K1012	15.0	23.0	F	20.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
160	Level1	K1013	14.0	20.0	M	12.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
161	Level1	K1014	13.0	29.0	F	84.0	6.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	полезёт	OtherVerb	x	x	x	pf	0	0	0	0
162	Level1	K1015	12.0	22.0	M	21.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	йдёт	MotionVerb	-	walk	uni	impf	1	0	1	1
163	Level1	K1016	12.0	20.0	M	18.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	стоит	OtherVerb	x	x	x	impf	0	0	0	1
164	Level1	K1017	12.0	20.0	M	24.0	60.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	спит	OtherVerb	x	x	x	impf	0	0	0	1
165	Level1	K1018	11.0	19.0	F	20.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
166	Level1	K1019	9.0	22.0	F	18.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
167	Level1	K1020	9.0	22.0	F	20.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	иду	MotionVerb	-	walk	uni	impf	1	0	1	1
168	Level1	K1021	5.0	20.0	F	19.0	0.0	t008	ползёт	DirectionItem	-	crawl	uni	impf	ходит	MotionVerb	-	walk	multi	impf	1	0	0	1
